iter	Passed	Remaining
1387	102270	266140
1388	102338	266051
1389	102407	265964
1390	102476	265879
1391	102550	265806
1392	102624	265733
1393	102698	265661
1394	102768	265578
1395	102847	265518
1396	102908	265411
1397	102980	265333
1398	103056	265265
1399	103124	265178
1400	103195	265095
1401	103275	265040
1402	103340	264943
1403	103411	264863
1404	103476	264766
1405	103541	264671
1406	103617	264604
1407	103678	264497
1408	103755	264434
1409	103824	264348
1410	103896	264269
1411	103967	264190
1412	104038	264109
1413	104107	264023
1414	104177	263940
1415	104241	263843
1416	104307	263749
1417	104384	263684
1418	104446	263581
1419	104517	263500
1420	104588	263422
1421	104658	263338
1422	104728	263256
1423	104800	263179
1424	104870	263095
1425	104946	263028
1426	105017	262948
1427	105089	262870
1428	105155	262777
1429	105217	262674
1430	105284	262586
1431	105355	262505
1432	105420	262410
1433	105491	262331
1434	105560	262246
1435	105629	262162
1436	105700	262082
1437	105777	262015
1438	105848	261936
1439	105937	261899
1440	106010	261825
1441	106094	261777
1442	106181	261736
1443	106268	261696
1444	106346	261634
1445	106418	261557
1446	106492	261484
1447	106557	261390
1448	106627	261308
1449	106689	261206
1450	106766	261141
1451	106842	261072
1452	106901	260962
1453	106968	260874
1454	107039	260794
1455	107107	260706
1456	107174	260616
1457	107236	260516
1458	107305	260431
1459	107381	260363
1460	107455	260290
1461	107556	260284
1462	107644	260244
1463	107720	260178
1464	107790	260094
1465	107863	260020
1466	107943	259961
1467	108012	259878
1468	108094	259824
1469	108157	259724
1470	108223	259633
1471	108301	259570
1472	108369	259484
1473	108431	259382
1474	108498	259292
1475	108580	259240
1476	108644	259144
1477	108706	259041
1478	108777	258963
1479	108843	258870
1480	108905	258769
1481	108976	258689
1482	109047	258612
1483	109113	258520
1484	109181	258434
1485	109246	258340
1486	109314	258253
1487	109380	258161
1488	109440	258055
1489	109505	257962
1490	109578	257888
1491	109653	257818
1492	109726	257744
1493	109800	257670
1494	109864	257576
1495	109929	257481
1496	109997	257396
1497	110071	257324
1498	110142	257243
1499	110209	257154
1500	110278	257072
1501	110351	256996
1502	110421	256915
1503	110485	256820
1504	110558	256746
1505	110628	256663
1506	110701	256589
1507	110784	256538
1508	110850	256447
1509	110925	256376
1510	111047	256417
1511	111126	256355
1512	111212	256311
1513	111297	256263
1514	111373	256194
1515	111441	256110
1516	111535	256082
1517	111606	256003
1518	111679	255929
1519	111753	255856
1520	111822	255773
1521	111889	255683
1522	111953	255588
1523	112022	255506
1524	112098	255438
1525	112169	255357
1526	112236	255269
1527	112307	255190
1528	112369	255091
1529	112435	255000
1530	112498	254904
1531	112573	254833
